AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
JETLITE,2016,FEB,1746,2730,1331,206391,167434,206978,80.89458783,736,77,813,14004,718,61,14783,20665,71.53641423
JETLITE,2016,MAR,1885,2995,1494,206092,177966,231160,76.98823326,779,84,863,14781,787,77,15645,23028,67.93903075
JETLITE,2016,APR,2124,3432,1723,240818,211297,269854,78.30048841,1067,117,1184,17598,993,102,18693,26815,69.71098266
JETLITE,2016,MAY,2172,3576,1776,254309,225511,278905,80.85584697,1370,126,1496,18722,1358,101,20181,27364,73.75018272
JETLITE,2016,JUNE,2086,3388,1689,226769,199153,264951,75.16597409,1333,117,1450,16574,1337,101,18012,25533,70.54400188
JETLITE,2016,JULY,2033,3393,1704,238924,216257,267380,80.88002094,1393,107,1500,18071,1499,101,19671,25788,76.27966496
JETLITE,2016,AUG,2021,3332,1694,234241,210492,266668,78.93410533,1396,116,1512,17600,1481,113,19194,25910,74.07950598
JETLITE,2016,SEP,1734,2884,1506,198098,186487,240727,77.46825242,1344,109,1453,15650,1499,115,17264,23703,72.83466228
JETLITE,2016,OCT,1989,3234,1684,209117,187954,264348,71.10097296,1645,144,1789,15725,1718,133,17576,26264,66.92049954
JETLITE,2016,NOV,1942,3136,1556,217905,181055,242541,74.64923456,1197,140,1337,15178,1215,120,16513,23693,69.69569071
JETLITE,2016,DEC,1970,3144,1551,246132,207488,242225,85.65920116,1245,156,1401,17259,1229,139,18627,23771,78.36018678
JETLITE,2015,JAN,2152,3172,1551,277588,216745,248087,87.36652868,1193,56,1249,17906,1119,46,19071,24232,78.70171674
JETLITE,2015,FEB,2057,3033,1456,272590,209149,233236,89.67269204,1131,58,1189,17338,1041,47,18426,23094,79.78695765
JETLITE,2015,MAR,2279,3346,1612,294766,226377,257941,87.76309311,1268,46,1314,18745,1203,34,19982,25612,78.01811651
JETLITE,2015,APR,1972,3085,1547,229057,203694,248763,81.88275588,1169,20,1189,16854,1342,16,18212,24580,74.09275834
JETLITE,2015,MAY,2012,3220,1629,225116,206667,260312,79.39203725,1365,20,1385,17075,1578,16,18669,25457,73.33542837
JETLITE,2015,JUNE,1724,2813,1406,186556,172598,220999,78.09899592,1139,23,1162,14374,1273,17,15664,21829,71.75775345
JETLITE,2015,JULY,1800,2947,1499,201874,187992,234814,80.05996235,1223,19.2429,1242.2429,15745,1439,16,17200,23320,73.75643225
JETLITE,2015,AUG,1830,2960,1537,204803,189635,240826,78.7435742,1239,20.3847,1259.3847,15903,1460,15,17378,24263,71.62345959
JETLITE,2015,SEP,1700,2715,1402,184198,163819,218611,74.93630238,1162,23,1185,13764,1318,17,15099,21959,68.75996175
JETLITE,2015,OCT,1641,2509,1262,171551,147201,194044,75.85959885,1174,34,1208,12300,1255,29,13584,19460,69.80472765
JETLITE,2015,NOV,1789,2768,1369,200683,167900,212104,79.15928035,959,54,1013,13973,977,41,14991,21278,70.4530501
JETLITE,2015,DEC,1807,2739,1354,217169,175735,211730,82.99957493,874,41,915,14569,795,30,15394,21353,72.09291434
AIR HERITAGE,2020,JAN,100,98,45.874,792,363.44,412.866,88.02856132,0,0,0,27258,0,0,27258,311943.2,8.738129249
AIR HERITAGE,2020,FEB,80,69.2,36.708,692,317.522,330.372,96.1104452,0,0,0,23814.15,0,0,23814.15,249614.4,9.540375075
AIR HERITAGE,2020,MAR,49,43,22.471,406,186.237,202.239,92.08757955,0,0,0,13967.775,0,0,13967.775,152802.8,9.141046499
AIR HERITAGE,2020,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,AUG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,SEP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,OCT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,NOV,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2020,DEC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,JAN,36,25,12.249,307,103.721,302.94,34.23813296,0,0,0,7.779075,0,0,7.779075,9.0712,85.75574345
AIR HERITAGE,2019,FEB,26,22,10.129,225,87.552,91.161,96.04107019,0,0,0,6.566,0,0,6.566,9.071,72.3845221
AIR HERITAGE,2019,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,AUG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR HERITAGE,2019,SEP,63,48,28.665,520,236.6,257.985,91.71075838,0,0,0,17745,0,0,17745,194922,9.103641457
AIR HERITAGE,2019,OCT,113,91,51.712,991,453.468,465.408,97.43450908,0,0,0,34010.1,0,0,34010.1,351641.6,9.671807886
AIR HERITAGE,2019,NOV,30,31,13.76,238,109.17,123.84,88.15406977,0,0,0,8187.75,0,0,8187.75,93568,8.750587808
AIR HERITAGE,2019,DEC,127,108.15,58.225,1112,509.81,524.025,97.28734316,0,0,0,38235.75,0,0,38235.75,395930,9.657199505
STAR AIR,2021,JAN,436,582,305.297,15518,11175.086,15264.85,73.2079647,0,0,0,1005.758,0,0,1005.758,6716.534,14.97436029
