AIRLINES,YEAR,MONTH,"DEPARTURES
(IN NUMBER)","HOURS
(IN NUMBER)","KILOMETRE
(IN THOUSAND)","PASSENGERS CARRIED
(IN NUMBER)","PASSENGER KMS.PERFORMED
(IN THOUSAND)","AVAILABLE SEAT KILOMETRE
(IN THOUSAND)"," PAX.LOAD FACTOR#
(IN %)"," FREIGHT
(IN TONNE)","MAIL
(IN TONNE)"," TOTAL
(IN TONNE)"," PASSENGER
(IN THOUSAND)","FREIGHT
(IN THOUSAND)"," MAIL
(IN THOUSAND)"," TOTAL
(IN THOUSAND)","AVAILABLE TONNE KILOMETRE
(IN THOUSAND)"," WEIGHT LOAD FACTOR##
(IN %)"
PAWAN HANS,2019,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAWAN HANS,2019,MAY,82,52,6.274,237,15.135,69.014,21.93033298,0,0,0,1.252585575,0,0,1.252585575,1.908,65.64913915
PAWAN HANS,2019,JUNE,84,57,7.582,282,22.53,83.402,27.01374068,0,0,0,1.618,0,0,1.618,2.19346,73.76473699
PAWAN HANS,2019,JULY,40,25.28333333,3.238,98,6.85,35.618,19.23184907,0,0,0,0.494,0,0,0.494,1.379,35.82306019
PAWAN HANS,2019,AUG,76,49.5,6.554,156,10.4,72.094,14.42561101,0,0,0,0.849,0,0,0.849,2.746,30.91769847
PAWAN HANS,2019,SEP,70,45.16,5.854,175,11.5,64.34,17.87379546,0,0,0,0.72,0,0,0.72,2.794,25.76950608
PAWAN HANS,2019,OCT,102,70,9.418,322,23.8,103.6,22.97297297,0,0,0,1.807,0,0,1.807,4.48,40.33482143
PAWAN HANS,2019,NOV,98,66.66,8.892,329,24.5,97.81,25.04856354,0,0,0,1.998,0,0,1.998,4.921,40.60150376
PAWAN HANS,2019,DEC,78,51.167,6.782,290,20.8,74.6,27.88203753,0,0,0,1.546676,0,0,1.546676,4.357,35.49864586
ZOOM AIR,2018,JAN,101,129.25,77,2772,2774,3779,73.40566287,0,0,0,540,0,0,540,6646,8.125188083
ZOOM AIR,2018,FEB,100,127,77,2911,2891,3746,77.17565403,0,0,0,540,0,0,540,6615,8.163265306
ZOOM AIR,2018,MAR,60,73.54,46,1365,1422,2238,63.53887399,0,0,0,540,0,0,540,3899,13.84970505
ZOOM AIR,2018,APR,88,115.13,67,2254,2244,3270,68.62385321,0,0,0,1211,0,0,1211,6214,19.48825233
ZOOM AIR,2018,MAY,169,217.56,122,4772,4169,5963,69.91447258,0,0,0,1211,0,0,1211,16579,7.304421256
ZOOM AIR,2018,JUNE,152,188.01,109,4258,3881,15608,24.86545361,0,0,0,1231.68,0,0,1231.68,14847.2922,8.295654072
ZOOM AIR,2018,JULY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2018,AUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2018,SEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2018,OCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2018,NOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2018,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2017,JAN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2017,FEB,36,48.5,31.524,1141,907,1545,58.70550162,0,0,0,249.565,0,0,249.565,1467.442,17.00680504
ZOOM AIR,2017,MAR,100,126.55,81.444,2452,2976,3991,74.5677775,0,0,0,873.43,0,0,873.43,6113.784,14.28624237
ZOOM AIR,2017,APR,120,143,78.84,2669,3078,3863,79.67900595,0,0,0,499,0,0,499,7215,6.916146916
ZOOM AIR,2017,MAY,116,132.49,76.212,2573,2990,3734,80.07498661,0,0,0,499,0,0,499,7093,7.035105033
ZOOM AIR,2017,JUNE,116,132.03,77.148,2399,2783.865,3780,73.64722222,0,0,0,1108.84,0,0,1108.84,8151,13.6037296
ZOOM AIR,2017,JULY,45,55.15,30.059,813,929,1473,63.06856755,0,0,0,1109,0,0,1109,2744,40.4154519
ZOOM AIR,2017,AUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZOOM AIR,2017,SEP,52,65.18,40,1056,1067.44,1948,54.79671458,0,0,0,540,0,0,540,3440,15.69767442
ZOOM AIR,2017,OCT,114,148.36,87,3098,2966,4270,69.46135831,0,0,0,540,0,0,540,7541,7.160853998
ZOOM AIR,2017,NOV,120,159.45,92,3623,3527,4495,78.46496107,0,0,0,540,0,0,540,7938,6.802721088
ZOOM AIR,2017,DEC,124,172.35,95,3798,3663,4645,78.85898816,0,0,0,540,0,0,540,8202,6.583760059
DECCAN AIR,2018,JAN,120,81.2,38,1071,342,680,50.29411765,0,0,0,25.67,0,0,25.67,75.562,33.97210238
DECCAN AIR,2018,FEB,78,78,24,927,299.963,440,68.17340909,0,0,0,25.5,0,0,25.5,48.98,52.06206615
DECCAN AIR,2018,MAR,32,32,98.13,302,93.724,176.634,53.06113206,0,0,0,7.96,0,0,7.96,39.58,20.11116726
DECCAN AIR,2018,APR,78,68,25.265,468,158.983,454.77,34.95899026,0,0,0,79.6,0,0,79.6,341,23.3431085
DECCAN AIR,2018,MAY,172,160,50.254,1391,470.17,964.584,48.74329245,0,0,0,784.182,0,0,784.182,6846,11.45460123
DECCAN AIR,2018,JUNE,75,67.24,25.04,573,201.467,450.72,44.69892616,0,0,0,286.5,0,0,286.5,3958,7.238504295
DECCAN AIR,2018,JULY,17,16,5.303,58,18.114,95.454,18.97667987,0,0,0,264.3131868,0,0,264.3131868,3958,6.677948125
DECCAN AIR,2018,AUG,152,120,49.471,1374,442.647,845.597,52.34727654,0,0,0,3762.4995,0,0,3762.4995,22105,17.0210337
DECCAN AIR,2018,SEP,192,150,511.67,1268,377.093,887.363,42.49591205,0,0,0,12626,0,0,12626,32052.905,39.39112539
DECCAN AIR,2018,OCT,80,60,15.672,203,52.406,281.462,18.6192097,0,0,0,4454.51,0,0,4454.51,12626,35.28045303
DECCAN AIR,2018,NOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2018,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,JAN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,FEB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,AUG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,SEP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,OCT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,NOV,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DECCAN AIR,2017,DEC,37,36,11.856,252,84.538,213.408,39.61332284,0,0,0,19.355,0,0,19.355,,
FLY BIG,2021,JAN,56,67,1.928,1717,777.2,1809.5,42.95109146,0,0,0,58.29,0,0,58.29,552.09,10.55806119
FLY BIG,2021,FEB,80,103,38.56,2921,1412.57,2776.32,50.87922142,0,0,0,105.94,0,0,105.94,848.21,12.48983153
FLY BIG,2021,MAR,90,119,43.69,2600,1278,3145.68,40.6271458,0,0,0,95.85,0,0,95.85,961.18,9.972117605
FLY BIG,2021,APR,68,88,131.1,1765,803.45,2315.32,34.70146675,0,0,0,60.26,0,0,60.26,707.43,8.518157274
FLY BIG,2021,MAY,54,59.5,62.86,1323,286.96,1113.69,25.76659573,0,0,0,21.52,0,0,21.52,340.3,6.323831913
FLY BIG,2021,JUNE,96,103.4,334.33,3253,897.64,2213.28,40.55700137,0,0,0,67.32,0,0,67.32,658.06,10.23007021
FLY BIG,2021,JULY,144,144,508.76,4982,1620.46,3583.4,45.22129821,0,0,0,121.53,0,0,121.53,1094.9,11.0996438
FLY BIG,2021,AUG,164,161.5,758.99,5663,2036.66,4330.08,47.0351587,0,0,0,152.75,0,0,152.75,1323.08,11.54503129
FLY BIG,2021,SEP,174,203.4,805.27,5571,2093.76,4775.47,43.84406142,0,0,0,157.03,0,0,157.03,1459.17,10.76159735
FLY BIG,2021,OCT,177,218.08,819.16,8398,3139.44,4844.88,64.79912815,0,0,0,235.46,0,0,235.46,1480.38,15.90537565
FLY BIG,2021,NOV,236,280,1277.2,10081,3763.2,6253.9,60.17365164,0,0,0,282.2,0,0,282.2,1910.9,14.76791041
FLY BIG,2021,DEC,243,291.5,1315.22,10244,3984.02,6513.12,61.16914781,0,0,0,298.8,0,0,298.8,1990.12,15.01417
AIR TAXI,2021,JAN,24,23.67,5.5104,27,6.199,16.531,37.49924384,0,0,0,0.465,0,0,0.465,6.778,6.860430806
AIR TAXI,2021,FEB,125,135,29.792,77,18.89,89.377,21.13519138,0,0,0,1.786,0,0,1.786,36.644,4.873922061
AIR TAXI,2021,MAR,114,139.73,29.687,79,19.75,89.06,22.17606108,0,0,0,1.483,0,0,1.483,36.515,4.061344653
AIR TAXI,2021,APR,34,38.27,9.129,31,8.13,27.39,29.68236583,0,0,0,0.61,0,0,0.61,11.229,5.432362632
AIR TAXI,2021,MAY,72,80.44,19.347,82,21.81,58.04,37.57753274,0,0,0,1.64,0,0,1.64,23.797,6.891624995
AIR TAXI,2021,JUNE,59,74.45,17.123,56,16.58,51.37,32.27564726,0,0,0,1.24,0,0,1.24,21.061,5.887659655
AIR TAXI,2021,JULY,48,62.05,13.9263,52,15.687,41.779,37.54757175,0,0,0,1.177,0,0,1.177,17.129,6.871387705
AIR TAXI,2021,AUG,1,0.916666667,0.2296,0,0,0.689,0,0,0,0,0,0,0,0,0.282,0
AIR TAXI,2021,SEP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR TAXI,2021,OCT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR TAXI,2021,NOV,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR TAXI,2021,DEC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,JAN,278,315.016,116.988,11041,4552.54,8049.16,56.55919375,0,0,0,367,0,0,367,759.364,48.32991819
AIR CARNIVAL,2017,FEB,266,272.75,109.872,13629,5661.302,7691.04,73.60905677,0,0,0,452.908,0,0,452.908,727.62,62.24512795
AIR CARNIVAL,2017,MAR,280,253.15,119.14,12970,5376.773,8297.68,64.79850994,0,0,0,411,0,0,411,756.225,54.3489041
AIR CARNIVAL,2017,APR,21,4.68,8.792,1008,421.368,631.6,66.71437619,0,0,0,33,0,0,33,58,56.89655172
AIR CARNIVAL,2017,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,AUG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,SEP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,OCT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,NOV,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2017,DEC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,JAN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,FEB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR CARNIVAL,2016,AUG,88,122.26,1.667,4036,1683.306,2567.11,65.57202457,0,0,0,133.187,0,0,133.187,245.279,54.30020507
AIR CARNIVAL,2016,SEP,150,153.517,1.667,6357,2603.822,4309.34,60.42275615,0,0,0,209.842,0,0,209.842,408.12478,51.41613798
AIR CARNIVAL,2016,OCT,188,216.03,76.628,7708,3140.474,5363.96,58.54767746,0,0,0,232.88,0,0,232.88,507.26,45.90939558
AIR CARNIVAL,2016,NOV,194,213.066,78.956,9232,3758.463,5526.92,68.00284788,0,0,0,288.94,0,0,288.94,522.5,55.29952153
AIR CARNIVAL,2016,DEC,234,257.067,96.778,9752,4007.39,6802.74,58.90846923,0,0,0,306.67,0,0,306.67,626.925,48.91653707
AIR COSTA,2017,JAN,490,721.3,452,44092,41089,50652,81.12019269,153.2,0,153.2,4024.3,192.9,0,4217.2,5399.4,78.10497463
AIR COSTA,2017,FEB,440,577.7166,371,40234,35228,41501,84.88470157,124.7,0,124.7,3462,146,0,3608,4387.2,82.23924143
AIR COSTA,2017,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,MAY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,JUNE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,JULY,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,AUG,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,SEP,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,OCT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,NOV,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2017,DEC,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR COSTA,2016,JAN,765,903.36,561,58607,47775,56885,83.98523337,149,0,149,4677,173,0,4850,6004,80.77948035
AIR COSTA,2016,FEB,690,798,491,56760,44041,50590,87.0547539,150.922,0,150.922,4342,163,0,4505,5333,84.47402963
AIR COSTA,2016,MAR,608,775.43,483,54387,44391,54082,82.08091417,155.9,0,155.9,4354.27,173.1,0,4527.37,5742,78.84656914
AIR COSTA,2016,APR,714,879.19,560,64459,52416,62393,84.00942413,207,0,207,5113,220,0,5333,6660,80.07507508
AIR COSTA,2016,MAY,714,906.4167,563,65321,53773.46,62761.74,85.6787272,181.21,0,181.21,5467.59,186.07,0,5653.66,6684.36,84.58042356
AIR COSTA,2016,JUNE,698,876.183,549,62187,49822,61124,81.50971795,219.8,0,219.8,5057,232,0,5289,6524,81.06989577
AIR COSTA,2016,JULY,744,936,581,65239,52340,64771,80.80776891,244.01,0,244.01,5302,234,0,5536,6904,80.18539977
AIR COSTA,2016,AUG,721,885.933,550,55188,43382,61251,70.82659875,197.7,0,197.7,4246,194,0,4440,6531,67.98346348
AIR COSTA,2016,SEP,648,836.15,527,50799,43269,58697,73.71586282,179.7,0,179.7,4256,190,0,4446,6259,71.03371146
AIR COSTA,2016,OCT,657,911.266,611,51223,48181,68190,70.65698783,170.6,0,170.6,4676,223,0,4899,7229,67.76870937
AIR COSTA,2016,NOV,646,928.966,603,52240,49775,67134,74.14275926,149.2,0,149.2,4895,195,0,5090,7164,71.04969291
AIR COSTA,2016,DEC,582,824.833,538,49599,46128,59990,76.89281547,176.2,0,176.2,4508,216,0,4724,6402,73.7894408
AIR COSTA,2015,JAN,1032,1150,695,65179,51209,66947,76.49185176,224.17,0,224.17,5012,255,0,5267,7050,74.70921986
AIR COSTA,2015,FEB,950,1310,638,61717,47820,61398,77.88527314,262,0,262,4715,262,0,4977,6455,77.10302091
AIR COSTA,2015,MAR,1046,1432,700,61790,46619,67337,69.23236853,265,0,265,4591,305,0,4896,7083,69.12325286
AIR COSTA,2015,APR,980,1382,690,66134,51417,66898,76.85879996,238,0,238,5027,270,0,5297,7028,75.36994878
AIR COSTA,2015,MAY,801,1221,629,61345,51616,63562,81.20575186,234,0,234,5038,275,0,5313,6721,79.0507365
AIR COSTA,2015,JUNE,946,1359,685,65903,53277.41,67294.4,79.17064421,295,0,295,5195.08,352.15,0,5547.23,7071.33,78.44677027
AIR COSTA,2015,JULY,938,1356,689.12,68327,55519,67977,81.673213,307,0,307,5451,347.9,0,5798.9,7152.3,81.07741566
AIR COSTA,2015,AUG,883,1282.5,666.28,62026,51422,66501,77.32515301,269.24,0,269.24,5040,304,0,5344,7038,75.93066212
AIR COSTA,2015,SEP,839,1230,636,59341,50220,63627,78.92875666,254,0,254,4943,292,0,5235,6649,78.73364416
AIR COSTA,2015,OCT,773,972.11,624,57942,50267,64091,78.43066889,170.27,0,170.27,4899,192,0,5091,6626,76.83368548
AIR COSTA,2015,NOV,628,813,499,45620,39962,51227,78.00964335,150.36,0,150.36,3918.5,184,0,4102.5,5425.93,75.60915825
AIR COSTA,2015,DEC,691,833.1,518,55444,45720,52518,87.05586656,159.48,0,159.48,4468.9,159,0,4627.9,5556.87,83.28249536
AIR PEGASUS,2016,JAN,428,464.24,172.326,23487,9528.31,11373.52,83.77626276,150.16,0,150.16,679.09,61.29,0,740.38,1015.98,72.87348176
AIR PEGASUS,2016,FEB,340,371.14,138,19135,7789.24,9118.96,85.41807399,113.67,0,113.67,555.85,46.43,0,602.28,824.95,73.00806109
AIR PEGASUS,2016,MAR,284,325.1,118.11,14420,5968.4,7795.4,76.56310132,84.56,0,84.56,455.01,35.1,0,490.11,688.32,71.20380056
AIR PEGASUS,2016,APR,398,442.75,161.66,20385,8338.09,10676.29,78.09913369,122.7,0,122.7,568.12,49.87,0,617.99,893.77,69.14418698
AIR PEGASUS,2016,MAY,398,445.85,153.29,21015,8661.54,10822.74,80.03093486,143.14,0,143.14,643,58.31,0,701.31,933.36,75.13821034
AIR PEGASUS,2016,JUNE,278,306.683,110.9,14296,5457.34,7256.17,75.20964917,89.88,0,89.88,404,35.39,0,439.39,660.2,66.55407452
AIR PEGASUS,2016,JULY,256,274.383,100.58,14231,5530,6587.2,83.95069225,92.28,0,92.28,397,35.44,0,432.44,602.45,71.78023072
AIR PEGASUS,2016,AUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2016,SEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2016,OCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2016,NOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2016,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2015,JAN,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2015,FEB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2015,MAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2015,APR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR PEGASUS,2015,MAY,124,151,55.8,6348,2871,3683,77.95275591,0,0,0,199.376,0,0,199.376,295.084,67.56584566
AIR PEGASUS,2015,JUNE,196,243.05,87.2,9353,4210.4,5757.1,73.13404318,60.45,0,60.45,301.901335,27.288465,0,329.1898,476.205585,69.12766468
AIR PEGASUS,2015,JULY,234,272,101.18,10749,4775.705,6677.88,71.51528629,70.38,0,70.38,347.03,31.39,0,378.42,558.96,67.70072993
AIR PEGASUS,2015,AUG,292,335.43,127.02,14480,6305.01,8180,77.07836186,103.94,0,103.94,1021.64,103.94,0,1125.58,1631.15,69.00530301
AIR PEGASUS,2015,SEP,318,365.24,133.174,15271,6401,8741,73.2296076,92.19,0,92.19,1112.05,92.19,0,1204.24,1795.37,67.07475339
AIR PEGASUS,2015,OCT,383,428.14,158.85,19484,8089,10466,77.28836232,128.511,0,128.511,1411.36,52.7582,0,1464.1182,2279.51,64.22951424
AIR PEGASUS,2015,NOV,440,480,176.22,22296,9081.074,11630.52,78.07969033,147.172,0,147.172,1617.38,59.417,0,1676.797,2634.17,63.65561069
AIR PEGASUS,2015,DEC,384,424.02,156.878,20554,8516,10308,82.61544432,150.38,0,150.38,638,62,0,700,942,74.30997877
